DATETIME,MEASURE:Units,MEASURE:Royalty Price,MEASURE:Customer Price,Vendor Identifier,Artist / Show,Title,Label/Studio/Network,Product Type Identifier,Order Id,Postal Code,Customer Identifier,Sale/Return,Customer Currency,Country Code,Royalty Currency,Asset/Content Flavor
9/27/13,1,3.49,4.99,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,3.00025E+13,755-0076,2021669689,S,USD,CL,USD,HD
9/24/13,1,1.39,1.99,0099_20120827_MOBZ_AONDA,"Max Riemelt,Jﾌ_rgen Vogel,Jennifer Ulrich,Jacob Matschenz,Frederick Lau,Christiane Paul",A Onda,Constantin Film Verleih Gmbh,D,2.30024E+13,05443-000,6771567884,S,USD,BR,USD,SD
9/29/13,1,3.49,4.99,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,7.00012E+13,$,6013738749,S,USD,CO,USD,HD
9/28/13,1,2.79,3.99,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,3.20024E+13,$,2779232014,S,USD,CL,USD,SD
9/23/13,1,2.09,2.99,0211_20132108_SOFA_ALEMDAESTRADA,"Naomi Campbell,Jill Mulleady,Guilhermina Guinle,Esteban Feune de Colombi",Alﾌｩm da Estrada,Waking Up Films,D,7.40006E+13,50050-470,9846635724,S,USD,BR,USD,HD
9/28/13,1,1.39,1.99,0145_20121109_MOBZ_HABEMUSPAPAM,"Nanni Moretti,Michel Piccoli,Jerzy Stuhr",Habemus Papam,Sacher Film,D,6.20028E+13,74120-030,5264545414,S,USD,BR,USD,SD
9/26/13,1,2.99,4.99,0183_20130110_MOBZ_OAMANTEDARAINHA,"Trine Dyrholm,Mikkel Boe Fﾌ�lsgaard,Mads Mikkelsen,David Dencik,Alicia Vikander",O Amante da Rainha,2012 Zentropa Entertainments,D,2.20028E+13,91340-300,2160017489,S,USD,BR,USD,HD
9/28/13,1,3.49,4.99,0212_20132108_SOFA_FOXFIRE,"Raven Adamson,Madeleine Bisson,Katie Coseni",Foxfire: Confissﾌｵes de uma Gangue de Garotas,Canal+ France,D,2.60025E+13,66055-090,5069518824,S,USD,BR,USD,HD
9/27/13,1,1.4,1.99,0131_20121024_MOBZ_CASINHA,"Vera Fuzaro,Isabela G. Carvalho",Galinha Pintadinha 3 Casinha,Bromelia filminhos,M,8.30018E+13,78050-090,2190353934,S,USD,BR,USD,SD
9/26/13,1,7,9.99,0043_20120702_MOBZ_PINA,"Ruth Amarante,Regina Advento,Rainer Behr,Pina Bausch,Pablo Aran Gimeno,Malou Airaudo,Lutz Fﾌｦrster,Josephine Ann Endicott,Damiano Ottavio Bigi,Clﾌｩmentine Deluy,Benedicte Billiet,Andrey Berezin,Ale�ﾁ ﾎu稿k",Pina,Neue Road Movies,M,8.50019E+13,22221-000,2231219909,S,USD,BR,USD,HD
